Key	English	Russian
resident.dialog.scout.status.ready_lodge_compass	Ready to take the Lodge's compass beyond the familiar roads.	Можно унести компас поста за пределы знакомых дорог.
resident.dialog.scout.status.scout_lodge_not_ready	This Scout or Lodge is no longer ready to depart.	Этот разведчик или пост больше не готовы к отправлению.
resident.dialog.scout.status.chosen_unavailable_choose_another	The chosen resident is no longer available. Choose another Scout.	Выбранный житель больше недоступен. Выберите другого разведчика.
resident.dialog.scout.status.required_rations_missing	The expedition cannot leave without all required rations.	Экспедиция не может отправиться без всех необходимых пайков.
resident.dialog.scout.status.departure_failed	Departure could not be completed. Provisions or the Lodge state may have changed.	Не удалось отправить экспедицию. Возможно, изменился запас провизии или состояние поста.
resident.dialog.scout.status.no_free_adult	No one can leave their duties today. Return when an adult is free.	Сегодня никто не может оставить свои обязанности. Вернитесь, когда освободится взрослый житель.
resident.dialog.scout.status.first_expedition_needs_rations	The first expedition must wait until enough rations are stored.	Первая экспедиция должна подождать, пока не будет собрано достаточно пайков.
resident.dialog.scout.status.selected_unavailable_for_trail	The selected resident is no longer available for the trail.	Выбранный житель больше не может отправиться в путь.
resident.dialog.scout.candidates.expedition_ready	SCOUT ON DUTY  /  READY	РАЗВЕДЧИК НА СЛУЖБЕ  /  ГОТОВ
resident.dialog.scout.candidates.expedition_blocked	SCOUT ON DUTY  /  DEPARTURE BLOCKED	РАЗВЕДЧИК НА СЛУЖБЕ  /  ОТПРАВЛЕНИЕ НЕДОСТУПНО
resident.dialog.scout.candidates.ready.one	CHOOSE A RESIDENT  /  {0} READY	ВЫБЕРИТЕ ЖИТЕЛЯ  /  {0} ГОТОВ
resident.dialog.scout.candidates.ready.many	CHOOSE A RESIDENT  /  {0} READY	ВЫБЕРИТЕ ЖИТЕЛЯ  /  ГОТОВО: {0}
resident.dialog.scout.candidates.empty	No adult residents are in the settlement yet.	В поселении пока нет взрослых жителей.
resident.dialog.scout.confirm.choose_resident	Choose a resident to continue	Выберите жителя, чтобы продолжить
resident.dialog.scout.confirm.send.one	Send {0} for {1} day	Отправить {0} на {1} день
resident.dialog.scout.confirm.send.few	Send {0} for {1} days	Отправить {0} на {1} дня
resident.dialog.scout.confirm.send.many	Send {0} for {1} days	Отправить {0} на {1} дней
resident.dialog.scout.confirm.appoint.one	Appoint {0}  /  {1} day	Назначить: {0}  /  {1} день
resident.dialog.scout.confirm.appoint.few	Appoint {0}  /  {1} days	Назначить: {0}  /  {1} дня
resident.dialog.scout.confirm.appoint.many	Appoint {0}  /  {1} days	Назначить: {0}  /  {1} дней
resident.dialog.scout.action.decide_later	Decide Later	Решить позже
resident.dialog.scout.action.cancel	Cancel	Отмена
resident.dialog.scout.expedition.range	EXPEDITION RANGE	ДАЛЬНОСТЬ ЭКСПЕДИЦИИ
resident.dialog.scout.expedition.duration.one	{0} DAY	{0} ДЕНЬ
resident.dialog.scout.expedition.duration.few	{0} DAYS	{0} ДНЯ
resident.dialog.scout.expedition.duration.many	{0} DAYS	{0} ДНЕЙ
resident.dialog.scout.expedition.ration_summary	RATIONS NEEDED: {0}  /  AVAILABLE: {1}	НУЖНО ПАЙКОВ: {0}  /  В НАЛИЧИИ: {1}
resident.dialog.scout.expedition.ends	Exploration ends: Day {0}, {1}	Разведка завершится: день {0}, {1}
resident.dialog.scout.expedition.not_enough_provisions	Rations short by {0}. Store more provisions or shorten the expedition.	Не хватает пайков: {0}. Запасите провизию или сократите экспедицию.
resident.dialog.scout.expedition.provisions_packed	Provisions are packed before the Scout leaves.	Провизия будет собрана перед отправлением разведчика.
