Key	English	Russian
hud.selection.value.miner	Miner	Шахтёр
hud.selection.value.minnow	Minnow	Гольян
hud.selection.value.mother	Mother	Мать
hud.selection.value.needs_food	Needs food	Нужна еда
hud.selection.value.needs_input	Needs input	Нужны материалы
hud.selection.value.next_visit	Next visit	Следующий визит
hud.selection.value.nibbling	Nibbling	Щиплет траву
hud.selection.value.no	No	Нет
hud.selection.value.no_active_trade	No active trade.	Сейчас торговля не ведётся.
hud.selection.value.no_granary_can_receive_this	No Granary can receive this.	Ни один амбар не может принять товар.
hud.selection.value.no_reachable_frontier	No reachable frontier	Нет доступной границы для разведки
hud.selection.value.no_sources	No sources	Нет источников
hud.selection.value.no_storage_yard_can_receive_this	No Storage Yard can receive this.	Ни один склад не может принять товар.
hud.selection.value.none	None	Нет
hud.selection.value.not_enough_coins	Not enough coins.	Недостаточно монет.
hud.selection.value.not_enough_stock	Not enough stock.	Недостаточно товара на складе.
hud.selection.value.not_ready	Not ready	Не готово
hud.selection.value.now	now	сейчас
hud.selection.value.occupied	Occupied	Заселён
hud.selection.value.open	Open	Открыто
hud.selection.value.operational	Operational	Работает
hud.selection.value.output_full	Output full	Выходной склад заполнен
hud.selection.value.pecking	Pecking	Клюёт
hud.selection.value.pending	Pending	Ожидание
hud.selection.value.perch	Perch	Окунь
hud.selection.value.planning_route	Planning route	Планирует маршрут
hud.selection.value.potter	Potter	Гончар
hud.selection.value.preparing_the_first_route	Preparing the first route	Прокладывает первый маршрут
hud.selection.value.producing	Producing	Производит
hud.selection.value.protected	Protected	Под защитой
hud.selection.value.queued	Queued	В очереди
hud.selection.value.ready	Ready	Готово
hud.selection.value.ready_for_expedition	Ready for expedition	Готов к экспедиции
hud.selection.value.recalled_to_lodge	Recalled to Lodge	Отозван в пост разведчиков
hud.selection.value.regrowing	Regrowing	Восстанавливается
hud.selection.value.reserved	Reserved	Зарезервировано
hud.selection.value.resting	Resting	Отдыхает
hud.selection.value.resuming_expedition	Resuming expedition	Продолжает экспедицию
hud.selection.value.return_route_blocked_retrying	Return route blocked - retrying	Обратный путь заблокирован — новая попытка
hud.selection.value.returning	Returning	Возвращается
hud.selection.value.returning_to_lodge	Returning to Lodge	Возвращается в пост разведчиков
hud.selection.value.river	River	Река
hud.selection.value.roaming	Roaming	Бродит
hud.selection.value.safe	Safe	В безопасности
hud.selection.value.sapling	Sapling	Саженец
hud.selection.value.sawyer	Sawyer	Пильщик
hud.selection.value.scout	Scout	Разведчик
hud.selection.value.settler	Settler	Поселенец
hud.selection.value.sheltered	Sheltered	Под крышей
hud.selection.value.shore	Shore	Берег
hud.selection.value.sparrow	Sparrow	Воробей
hud.selection.value.stalking	Stalking	Крадётся
hud.selection.value.standing	Standing	Стоит
hud.selection.value.starving	Starving	Сильно голодает
hud.selection.value.stock_full	Stock full	Склад заполнен
hud.selection.value.stonecutter	Stonecutter	Каменотёс
hud.selection.value.storage_worker	Storage worker	Работник склада
hud.selection.value.storekeeper	Storekeeper	Кладовщик
hud.selection.value.swimming	Swimming	Плывёт
hud.selection.value.temporary	Temporary	Временно
hud.selection.value.the_current_caravan_is_leaving_the_settlement	The current caravan is leaving the settlement.	Текущий караван покидает поселение.
hud.selection.value.the_post_is_ready_for_the_next_caravan	The post is ready for the next caravan.	Торговый пост готов принять следующий караван.
hud.selection.value.trade_controller_is_unavailable	Trade controller is unavailable.	Торговая система недоступна.
hud.selection.value.trade_goods_while_the_caravan_waits	Trade goods while the caravan waits.	Торгуйте, пока караван находится у поста.
hud.selection.value.trading	Trading	Торговля
hud.selection.value.trading_post_data_is_unavailable	Trading post data is unavailable.	Данные торгового поста недоступны.
hud.selection.value.travelling_to_point_of_interest	Travelling to point of interest	Идёт к интересному месту
hud.selection.value.turning	Turning	Разворачивается
hud.selection.value.unassigned	Unassigned	Не назначен
hud.selection.value.unavailable	Unavailable	Недоступно
hud.selection.value.unknown	Unknown	Неизвестно
hud.selection.value.waiting	Waiting	Ожидает
hud.selection.value.walking	Walking	Идёт
hud.selection.value.warm	Warm	Тепло
hud.selection.value.water	Water	Вода
hud.selection.value.wife	Wife	Жена
hud.selection.value.wolf_prey	Wolf prey	Добыча волков
hud.selection.value.working	Working	Работает
hud.selection.value.yes	Yes	Да
hud.selection.value.young	Young	Молодое
