Key	English	Russian
hud.professions.assign_failed	{0}: no free residents or workplaces	{0}: нет свободных жителей или рабочих мест
hud.professions.remove_failed	{0}: nobody to remove	{0}: некого снять с работы
hud.professions.assigned	{0}: assigned	{0}: назначено
hud.professions.removed	{0}: removed	{0}: снято
hud.professions.scout_summary	{0} ready / {1} exploring / {2} returning	Готовы: {0} / В разведке: {1} / Возвращаются: {2}
hud.professions.priority_changed	{0}: {1}	{0}: {1}
hud.professions.auto_on	Auto Assign: On	Автоназначение: вкл.
hud.professions.auto_off	Auto Assign: Off	Автоназначение: выкл.
hud.professions.auto_status	{0} / free adults {1}	{0} / свободных взрослых: {1}
hud.professions.auto_unavailable	Auto workforce unavailable	Автораспределение недоступно
hud.inventory.launcher	Inventory	Инвентарь
hud.inventory.tooltip	Open the settlement chest for unique story and city items.	Открыть городской сундук с уникальными сюжетными предметами.
hud.inventory.title	CITY INVENTORY	ГОРОДСКОЙ ИНВЕНТАРЬ
hud.inventory.subtitle	THE SETTLEMENT CHEST / SPECIAL ITEMS	СУНДУК ПОСЕЛЕНИЯ / ОСОБЫЕ ПРЕДМЕТЫ
hud.inventory.story	STORY	ИСТОРИЯ
hud.inventory.effect	EFFECT	ЭФФЕКТ
hud.inventory.read_only	Stored safely for the whole city	Надёжно хранится для всего города
hud.inventory.empty_title	The city chest is empty	Городской сундук пуст
hud.inventory.empty_body	Special finds and keepsakes will appear here as the settlement's story unfolds.	По мере развития истории поселения здесь появятся особые находки и памятные вещи.
hud.inventory.unknown_item	Unknown Item	Неизвестный предмет
hud.inventory.unique	UNIQUE	УНИКАЛЬНЫЙ
hud.inventory.unique_city_item	UNIQUE CITY ITEM	УНИКАЛЬНЫЙ ГОРОДСКОЙ ПРЕДМЕТ
hud.inventory.stored_capacity	{0} / {1} STORED	НА СКЛАДЕ: {0} / {1}
hud.inventory.stored	{0} STORED	НА СКЛАДЕ: {0}
hud.inventory.story_missing	This item's story has not been recorded yet.	История этого предмета ещё не записана.
hud.inventory.effect_missing	No active effect is recorded.	Активный эффект не указан.
hud.inventory.record_missing	No record is available for this item.	Об этом предмете нет записей.
hud.inventory.effect_none	No effect is recorded.	Эффект не указан.
